gene,gene_ID,pathway,dose,type_of_radiation,tissue_cell_line,time_after_irradiation
PIANP,196500,,9 Gy,protons,breast adenocarcinoma cells,24 h
ZBTB49,166793,,5 Gy,γ-rays,T-lymphoid cell line,12 h
ZBTB49,166793,,5 Gy,γ-rays,T-lymphoid cell line,24 h
ZBTB49,166793,,5 Gy,γ-rays,T-lymphoid cell line,3 h
ZBTB49,166793,,5 Gy,γ-rays,T-lymphoid cell line,48 h
ZBTB49,166793,,5 Gy,γ-rays,T-lymphoid cell line,6 h
DQX1,165545,,9 Gy,protons,breast adenocarcinoma cells,24 h
ZNF600,162966,,5 Gy,γ-rays,T-lymphoid cell line,12 h
ZNF600,162966,,5 Gy,γ-rays,T-lymphoid cell line,24 h
ZNF600,162966,,5 Gy,γ-rays,T-lymphoid cell line,3 h
ZNF600,162966,,5 Gy,γ-rays,T-lymphoid cell line,48 h
ZNF600,162966,,5 Gy,γ-rays,T-lymphoid cell line,6 h
LINC00475,158314,,9 Gy,protons,breast adenocarcinoma cells,24 h
MAMDC4,158056,,5 Gy,γ-rays,T-lymphoid cell line,12 h
MAMDC4,158056,,5 Gy,γ-rays,T-lymphoid cell line,24 h
MAMDC4,158056,,5 Gy,γ-rays,T-lymphoid cell line,48 h
MAMDC4,158056,,5 Gy,γ-rays,T-lymphoid cell line,6 h
MCMDC2,157777,,5 Gy,γ-rays,T-lymphoid cell line,12 h
MCMDC2,157777,,5 Gy,γ-rays,T-lymphoid cell line,24 h
MCMDC2,157777,,5 Gy,γ-rays,T-lymphoid cell line,3 h
MCMDC2,157777,,5 Gy,γ-rays,T-lymphoid cell line,48 h
MCMDC2,157777,,5 Gy,γ-rays,T-lymphoid cell line,6 h
FMC1,154791,,5 Gy,γ-rays,T-lymphoid cell line,12 h
FMC1,154791,,5 Gy,γ-rays,T-lymphoid cell line,24 h
FMC1,154791,,5 Gy,γ-rays,T-lymphoid cell line,3 h
FMC1,154791,,5 Gy,γ-rays,T-lymphoid cell line,48 h
FMC1,154791,,5 Gy,γ-rays,T-lymphoid cell line,6 h
NKAIN2,154215,,9 Gy,protons,TNBC cell line,24 h
SPINK13,153218,,9 Gy,protons,TNBC cell line,24 h
CDC42EP5,148170,,0.5 Gy,γ-rays,immortalized B lymphocytes,24 h
CDC42EP5,148170,,3 Gy,γ-rays,immortalized B lymphocytes,24 h
CDC42EP5,148170,,8 Gy,γ-rays,immortalized B lymphocytes,24 h
ANKRD29,147463,,9 Gy,protons,breast adenocarcinoma cells,24 h
CCBE1,147372,,5 Gy,γ-rays,T-lymphoid cell line,12 h
CCBE1,147372,,5 Gy,γ-rays,T-lymphoid cell line,24 h
CCBE1,147372,,5 Gy,γ-rays,T-lymphoid cell line,3 h
CCBE1,147372,,5 Gy,γ-rays,T-lymphoid cell line,48 h
CCBE1,147372,,5 Gy,γ-rays,T-lymphoid cell line,6 h
CMTM4,146223,,9 Gy,protons,TNBC cell line,24 h
ARHGAP42,143872,,9 Gy,protons,breast adenocarcinoma cells,24 h
SYT9,143425,,9 Gy,protons,TNBC cell line,24 h
RIPOR3,140876,,9 Gy,protons,breast adenocarcinoma cells,24 h
NOL4L,140688,,9 Gy,protons,TNBC cell line,24 h
ZBTB46,140685,,9 Gy,protons,TNBC cell line,24 h
C7orf57,136288,,5 Gy,γ-rays,T-lymphoid cell line,12 h
C7orf57,136288,,5 Gy,γ-rays,T-lymphoid cell line,24 h
C7orf57,136288,,5 Gy,γ-rays,T-lymphoid cell line,3 h
C7orf57,136288,,5 Gy,γ-rays,T-lymphoid cell line,48 h
C7orf57,136288,,5 Gy,γ-rays,T-lymphoid cell line,6 h
ZNF786,136051,,5 Gy,γ-rays,T-lymphoid cell line,12 h
ZNF786,136051,,5 Gy,γ-rays,T-lymphoid cell line,24 h
ZNF786,136051,,5 Gy,γ-rays,T-lymphoid cell line,3 h
ZNF786,136051,,5 Gy,γ-rays,T-lymphoid cell line,48 h
ZNF786,136051,,5 Gy,γ-rays,T-lymphoid cell line,6 h
TMEM139,135932,,9 Gy,protons,breast adenocarcinoma cells,24 h
DNAJC21,134218,,9 Gy,protons,breast adenocarcinoma cells,24 h
JMY,133746,,2 Gy,X-rays,prostate cancer cell line,8 h
SPATA18,132671,,9 Gy,protons,breast adenocarcinoma cells,24 h
LYG1,129530,,5 Gy,γ-rays,T-lymphoid cell line,12 h
LYG1,129530,,5 Gy,γ-rays,T-lymphoid cell line,24 h
LYG1,129530,,5 Gy,γ-rays,T-lymphoid cell line,48 h
LYG1,129530,,5 Gy,γ-rays,T-lymphoid cell line,6 h
EID2B,126272,,5 Gy,γ-rays,T-lymphoid cell line,12 h
EID2B,126272,,5 Gy,γ-rays,T-lymphoid cell line,24 h
EID2B,126272,,5 Gy,γ-rays,T-lymphoid cell line,3 h
EID2B,126272,,5 Gy,γ-rays,T-lymphoid cell line,48 h
EID2B,126272,,5 Gy,γ-rays,T-lymphoid cell line,6 h
NLRP8,126205,,5 Gy,γ-rays,T-lymphoid cell line,12 h
NLRP8,126205,,5 Gy,γ-rays,T-lymphoid cell line,24 h
NLRP8,126205,,5 Gy,γ-rays,T-lymphoid cell line,3 h
NLRP8,126205,,5 Gy,γ-rays,T-lymphoid cell line,48 h
NLRP8,126205,,5 Gy,γ-rays,T-lymphoid cell line,6 h
RN7SK,125050,,5 Gy,γ-rays,T-lymphoid cell line,12 h
RN7SK,125050,,5 Gy,γ-rays,T-lymphoid cell line,24 h
RN7SK,125050,,5 Gy,γ-rays,T-lymphoid cell line,3 h
RN7SK,125050,,5 Gy,γ-rays,T-lymphoid cell line,48 h
RN7SK,125050,,5 Gy,γ-rays,T-lymphoid cell line,6 h
DCUN1D3,123879,,5 Gy,γ-rays,T-lymphoid cell line,12 h
DCUN1D3,123879,,5 Gy,γ-rays,T-lymphoid cell line,24 h
DCUN1D3,123879,,5 Gy,γ-rays,T-lymphoid cell line,3 h
DCUN1D3,123879,,5 Gy,γ-rays,T-lymphoid cell line,48 h
DCUN1D3,123879,,5 Gy,γ-rays,T-lymphoid cell line,6 h
IKBIP,121457,,5 Gy,γ-rays,T-lymphoid cell line,12 h
IKBIP,121457,,5 Gy,γ-rays,T-lymphoid cell line,24 h
IKBIP,121457,,5 Gy,γ-rays,T-lymphoid cell line,3 h
IKBIP,121457,,5 Gy,γ-rays,T-lymphoid cell line,48 h
IKBIP,121457,,5 Gy,γ-rays,T-lymphoid cell line,6 h
CALHM3,119395,,9 Gy,protons,breast adenocarcinoma cells,24 h
LEAP2,116842,,5 Gy,γ-rays,T-lymphoid cell line,12 h
LEAP2,116842,,5 Gy,γ-rays,T-lymphoid cell line,24 h
LEAP2,116842,,5 Gy,γ-rays,T-lymphoid cell line,3 h
LEAP2,116842,,5 Gy,γ-rays,T-lymphoid cell line,48 h
LEAP2,116842,,5 Gy,γ-rays,T-lymphoid cell line,6 h
C8orf34,116328,,9 Gy,protons,TNBC cell line,24 h
ARL11,115761,,9 Gy,protons,breast adenocarcinoma cells,24 h
DDIT4L,115265,,9 Gy,protons,TNBC cell line,24 h
C1QTNF3,114899,,9 Gy,protons,TNBC cell line,24 h
CROCCP3,114819,,9 Gy,protons,breast adenocarcinoma cells,24 h
ERMAP,114625,,9 Gy,protons,TNBC cell line,24 h
CGB1,114335,,9 Gy,protons,breast adenocarcinoma cells,24 h
TP53INP1,94241,,5 Gy,γ-rays,T-lymphoid cell line,12 h
TP53INP1,94241,,5 Gy,γ-rays,T-lymphoid cell line,24 h
TP53INP1,94241,,5 Gy,γ-rays,T-lymphoid cell line,3 h
TP53INP1,94241,,5 Gy,γ-rays,T-lymphoid cell line,48 h
TP53INP1,94241,,5 Gy,γ-rays,T-lymphoid cell line,6 h
TP53INP1,94241,,9 Gy,protons,breast adenocarcinoma cells,24 h
SYAP1,94056,,5 Gy,γ-rays,T-lymphoid cell line,12 h
SYAP1,94056,,5 Gy,γ-rays,T-lymphoid cell line,24 h
SYAP1,94056,,5 Gy,γ-rays,T-lymphoid cell line,3 h
SYAP1,94056,,5 Gy,γ-rays,T-lymphoid cell line,48 h
SYAP1,94056,,5 Gy,γ-rays,T-lymphoid cell line,6 h
GCNA,93953,,8 Gy,X-rays,pancreatic cancer cell line,4 h
ZNF561,93134,,5 Gy,γ-rays,T-lymphoid cell line,12 h
ZNF561,93134,,5 Gy,γ-rays,T-lymphoid cell line,24 h
ZNF561,93134,,5 Gy,γ-rays,T-lymphoid cell line,3 h
ZNF561,93134,,5 Gy,γ-rays,T-lymphoid cell line,48 h
ZNF561,93134,,5 Gy,γ-rays,T-lymphoid cell line,6 h
TMEM169,92691,,9 Gy,protons,TNBC cell line,24 h
TTC30A,92104,,9 Gy,protons,breast adenocarcinoma cells,24 h
ARRDC4,91947,,9 Gy,protons,breast adenocarcinoma cells,24 h
C11orf52,91894,,9 Gy,protons,TNBC cell line,24 h
CENPL,91687,,9 Gy,protons,breast adenocarcinoma cells,24 h
CENPL,91687,,9 Gy,protons,TNBC cell line,24 h
NEXN,91624,,2 Gy,X-rays,prostate cancer cell line,8 h
ANKRD44,91526,,5 Gy,γ-rays,T-lymphoid cell line,12 h
ANKRD44,91526,,5 Gy,γ-rays,T-lymphoid cell line,24 h
ANKRD44,91526,,5 Gy,γ-rays,T-lymphoid cell line,3 h
ANKRD44,91526,,5 Gy,γ-rays,T-lymphoid cell line,48 h
ANKRD44,91526,,5 Gy,γ-rays,T-lymphoid cell line,6 h
ZNF682,91120,,5 Gy,γ-rays,T-lymphoid cell line,12 h
ZNF682,91120,,5 Gy,γ-rays,T-lymphoid cell line,24 h
ZNF682,91120,,5 Gy,γ-rays,T-lymphoid cell line,3 h
ZNF682,91120,,5 Gy,γ-rays,T-lymphoid cell line,48 h
ZNF682,91120,,5 Gy,γ-rays,T-lymphoid cell line,6 h
SHF,90525,,9 Gy,protons,TNBC cell line,24 h
CCDC32,90416,,9 Gy,protons,breast adenocarcinoma cells,24 h
CFAP74,85452,,5 Gy,γ-rays,T-lymphoid cell line,12 h
CFAP74,85452,,5 Gy,γ-rays,T-lymphoid cell line,24 h
CFAP74,85452,,5 Gy,γ-rays,T-lymphoid cell line,3 h
CFAP74,85452,,5 Gy,γ-rays,T-lymphoid cell line,48 h
CFAP74,85452,,5 Gy,γ-rays,T-lymphoid cell line,6 h
CFAP74,85452,,9 Gy,protons,TNBC cell line,24 h
KNDC1,85442,,9 Gy,protons,breast adenocarcinoma cells,24 h
ZNF566,84924,,5 Gy,γ-rays,T-lymphoid cell line,12 h
ZNF566,84924,,5 Gy,γ-rays,T-lymphoid cell line,24 h
ZNF566,84924,,5 Gy,γ-rays,T-lymphoid cell line,3 h
ZNF566,84924,,5 Gy,γ-rays,T-lymphoid cell line,48 h
ZNF566,84924,,5 Gy,γ-rays,T-lymphoid cell line,6 h
RAX2,84839,,5 Gy,γ-rays,T-lymphoid cell line,12 h
RAX2,84839,,5 Gy,γ-rays,T-lymphoid cell line,24 h
RAX2,84839,,5 Gy,γ-rays,T-lymphoid cell line,3 h
RAX2,84839,,5 Gy,γ-rays,T-lymphoid cell line,48 h
RAX2,84839,,5 Gy,γ-rays,T-lymphoid cell line,6 h
PLPP7,84814,,9 Gy,protons,TNBC cell line,24 h
ZNF577,84765,,5 Gy,γ-rays,T-lymphoid cell line,12 h
ZNF577,84765,,5 Gy,γ-rays,T-lymphoid cell line,24 h
ZNF577,84765,,5 Gy,γ-rays,T-lymphoid cell line,3 h
ZNF577,84765,,5 Gy,γ-rays,T-lymphoid cell line,48 h
ZNF577,84765,,5 Gy,γ-rays,T-lymphoid cell line,6 h
ZNF397,84307,,5 Gy,γ-rays,T-lymphoid cell line,12 h
ZNF397,84307,,5 Gy,γ-rays,T-lymphoid cell line,24 h
ZNF397,84307,,5 Gy,γ-rays,T-lymphoid cell line,48 h
ZNF397,84307,,5 Gy,γ-rays,T-lymphoid cell line,6 h
DNAJC30,84277,,5 Gy,γ-rays,T-lymphoid cell line,12 h
DNAJC30,84277,,5 Gy,γ-rays,T-lymphoid cell line,24 h
DNAJC30,84277,,5 Gy,γ-rays,T-lymphoid cell line,3 h
DNAJC30,84277,,5 Gy,γ-rays,T-lymphoid cell line,48 h
DNAJC30,84277,,5 Gy,γ-rays,T-lymphoid cell line,6 h
ANKRD20A1,84210,,5 Gy,γ-rays,T-lymphoid cell line,12 h
ANKRD20A1,84210,,5 Gy,γ-rays,T-lymphoid cell line,24 h
ANKRD20A1,84210,,5 Gy,γ-rays,T-lymphoid cell line,3 h
ANKRD20A1,84210,,5 Gy,γ-rays,T-lymphoid cell line,48 h
ANKRD20A1,84210,,5 Gy,γ-rays,T-lymphoid cell line,6 h
LOXL4,84171,,9 Gy,protons,breast adenocarcinoma cells,24 h
C19orf44,84167,,5 Gy,γ-rays,T-lymphoid cell line,12 h
C19orf44,84167,,5 Gy,γ-rays,T-lymphoid cell line,24 h
C19orf44,84167,,5 Gy,γ-rays,T-lymphoid cell line,3 h
C19orf44,84167,,5 Gy,γ-rays,T-lymphoid cell line,48 h
C19orf44,84167,,5 Gy,γ-rays,T-lymphoid cell line,6 h
ACAD11,84129,,5 Gy,γ-rays,T-lymphoid cell line,12 h
ACAD11,84129,,5 Gy,γ-rays,T-lymphoid cell line,24 h
ACAD11,84129,,5 Gy,γ-rays,T-lymphoid cell line,48 h
USHBP1,83878,,9 Gy,protons,TNBC cell line,24 h
EPPK1,83481,,9 Gy,protons,TNBC cell line,24 h
CCDC70,83446,,9 Gy,protons,TNBC cell line,24 h
NUAK2,81788,,8 Gy,X-rays,pancreatic cancer cell line,4 h
ACTL8,81569,,9 Gy,protons,breast adenocarcinoma cells,24 h
KCNH6,81033,,5 Gy,γ-rays,T-lymphoid cell line,12 h
KCNH6,81033,,5 Gy,γ-rays,T-lymphoid cell line,24 h
KCNH6,81033,,5 Gy,γ-rays,T-lymphoid cell line,3 h
KCNH6,81033,,5 Gy,γ-rays,T-lymphoid cell line,48 h
KCNH6,81033,,5 Gy,γ-rays,T-lymphoid cell line,6 h
SRCIN1,80725,,9 Gy,protons,TNBC cell line,24 h
TSGA10,80705,,5 Gy,γ-rays,T-lymphoid cell line,12 h
TSGA10,80705,,5 Gy,γ-rays,T-lymphoid cell line,24 h
TSGA10,80705,,5 Gy,γ-rays,T-lymphoid cell line,48 h
TSGA10,80705,,5 Gy,γ-rays,T-lymphoid cell line,6 h
TSGA10,80705,,9 Gy,protons,TNBC cell line,24 h
NUBPL,80224,,5 Gy,γ-rays,T-lymphoid cell line,12 h
NUBPL,80224,,5 Gy,γ-rays,T-lymphoid cell line,24 h
NUBPL,80224,,5 Gy,γ-rays,T-lymphoid cell line,3 h
NUBPL,80224,,5 Gy,γ-rays,T-lymphoid cell line,48 h
NUBPL,80224,,5 Gy,γ-rays,T-lymphoid cell line,6 h
CEP290,80184,,9 Gy,protons,TNBC cell line,24 h
ARL14,80117,,8 Gy,X-rays,pancreatic cancer cell line,4 h
ZFP2,80108,,5 Gy,γ-rays,T-lymphoid cell line,12 h
ZFP2,80108,,5 Gy,γ-rays,T-lymphoid cell line,24 h
ZFP2,80108,,5 Gy,γ-rays,T-lymphoid cell line,48 h
ZFP2,80108,,5 Gy,γ-rays,T-lymphoid cell line,6 h
PCNX2,80003,,5 Gy,γ-rays,T-lymphoid cell line,12 h
PCNX2,80003,,5 Gy,γ-rays,T-lymphoid cell line,24 h
PCNX2,80003,,5 Gy,γ-rays,T-lymphoid cell line,48 h
PCNX2,80003,,5 Gy,γ-rays,T-lymphoid cell line,6 h
ZNF767P,79970,,5 Gy,γ-rays,T-lymphoid cell line,12 h
ZNF767P,79970,,5 Gy,γ-rays,T-lymphoid cell line,24 h
ZNF767P,79970,,5 Gy,γ-rays,T-lymphoid cell line,3 h
ZNF767P,79970,,5 Gy,γ-rays,T-lymphoid cell line,48 h
ZNF767P,79970,,5 Gy,γ-rays,T-lymphoid cell line,6 h
SLC35E1,79939,,5 Gy,γ-rays,T-lymphoid cell line,12 h
SLC35E1,79939,,5 Gy,γ-rays,T-lymphoid cell line,24 h
SLC35E1,79939,,5 Gy,γ-rays,T-lymphoid cell line,3 h
SLC35E1,79939,,5 Gy,γ-rays,T-lymphoid cell line,48 h
SLC35E1,79939,,5 Gy,γ-rays,T-lymphoid cell line,6 h
ZNF669,79862,,5 Gy,γ-rays,T-lymphoid cell line,12 h
ZNF669,79862,,5 Gy,γ-rays,T-lymphoid cell line,24 h
ZNF669,79862,,5 Gy,γ-rays,T-lymphoid cell line,3 h
ZNF669,79862,,5 Gy,γ-rays,T-lymphoid cell line,48 h
ZNF669,79862,,5 Gy,γ-rays,T-lymphoid cell line,6 h
ZNF750,79755,,9 Gy,protons,breast adenocarcinoma cells,24 h
NOL9,79707,,5 Gy,γ-rays,T-lymphoid cell line,12 h
NOL9,79707,,5 Gy,γ-rays,T-lymphoid cell line,24 h
NOL9,79707,,5 Gy,γ-rays,T-lymphoid cell line,3 h
NOL9,79707,,5 Gy,γ-rays,T-lymphoid cell line,48 h
NOL9,79707,,5 Gy,γ-rays,T-lymphoid cell line,6 h
GAL3ST4,79690,,5 Gy,γ-rays,T-lymphoid cell line,12 h
GAL3ST4,79690,,5 Gy,γ-rays,T-lymphoid cell line,24 h
GAL3ST4,79690,,5 Gy,γ-rays,T-lymphoid cell line,48 h
GAL3ST4,79690,,5 Gy,γ-rays,T-lymphoid cell line,6 h
MSANTD2,79684,,5 Gy,γ-rays,T-lymphoid cell line,12 h
MSANTD2,79684,,5 Gy,γ-rays,T-lymphoid cell line,24 h
MSANTD2,79684,,5 Gy,γ-rays,T-lymphoid cell line,3 h
MSANTD2,79684,,5 Gy,γ-rays,T-lymphoid cell line,48 h
MSANTD2,79684,,5 Gy,γ-rays,T-lymphoid cell line,6 h
SPAG16,79582,,9 Gy,protons,TNBC cell line,24 h
TAF1D,79101,,5 Gy,γ-rays,T-lymphoid cell line,12 h
TAF1D,79101,,5 Gy,γ-rays,T-lymphoid cell line,24 h
TAF1D,79101,,5 Gy,γ-rays,T-lymphoid cell line,48 h
TAF1D,79101,,5 Gy,γ-rays,T-lymphoid cell line,6 h
PRRG4,79056,,5 Gy,γ-rays,T-lymphoid cell line,12 h
PRRG4,79056,,5 Gy,γ-rays,T-lymphoid cell line,24 h
PRRG4,79056,,5 Gy,γ-rays,T-lymphoid cell line,3 h
PRRG4,79056,,5 Gy,γ-rays,T-lymphoid cell line,48 h
PRRG4,79056,,5 Gy,γ-rays,T-lymphoid cell line,6 h
EXO5,64789,,5 Gy,γ-rays,T-lymphoid cell line,12 h
EXO5,64789,,5 Gy,γ-rays,T-lymphoid cell line,24 h
EXO5,64789,,5 Gy,γ-rays,T-lymphoid cell line,3 h
EXO5,64789,,5 Gy,γ-rays,T-lymphoid cell line,48 h
EXO5,64789,,5 Gy,γ-rays,T-lymphoid cell line,6 h
AEN,64782,,5 Gy,γ-rays,T-lymphoid cell line,12 h
AEN,64782,,5 Gy,γ-rays,T-lymphoid cell line,24 h
AEN,64782,,5 Gy,γ-rays,T-lymphoid cell line,3 h
AEN,64782,,5 Gy,γ-rays,T-lymphoid cell line,48 h
AEN,64782,,5 Gy,γ-rays,T-lymphoid cell line,6 h
TMEM267,64417,,5 Gy,γ-rays,T-lymphoid cell line,12 h
TMEM267,64417,,5 Gy,γ-rays,T-lymphoid cell line,24 h
TMEM267,64417,,5 Gy,γ-rays,T-lymphoid cell line,3 h
TMEM267,64417,,5 Gy,γ-rays,T-lymphoid cell line,48 h
TMEM267,64417,,5 Gy,γ-rays,T-lymphoid cell line,6 h
ARHGAP9,64333,,9 Gy,protons,TNBC cell line,24 h
ERAP2,64167,,5 Gy,γ-rays,T-lymphoid cell line,12 h
ERAP2,64167,,5 Gy,γ-rays,T-lymphoid cell line,24 h
ERAP2,64167,,5 Gy,γ-rays,T-lymphoid cell line,3 h
ERAP2,64167,,5 Gy,γ-rays,T-lymphoid cell line,48 h
ERAP2,64167,,5 Gy,γ-rays,T-lymphoid cell line,6 h
EPB41L4A,64097,,9 Gy,protons,breast adenocarcinoma cells,24 h
DMRTC1,63947,,9 Gy,protons,breast adenocarcinoma cells,24 h
ZBED8,63920,,5 Gy,γ-rays,T-lymphoid cell line,12 h
ZBED8,63920,,5 Gy,γ-rays,T-lymphoid cell line,24 h
ZBED8,63920,,5 Gy,γ-rays,T-lymphoid cell line,3 h
ZBED8,63920,,5 Gy,γ-rays,T-lymphoid cell line,48 h
ZBED8,63920,,5 Gy,γ-rays,T-lymphoid cell line,6 h
PLEKHA1,59338,,9 Gy,protons,TNBC cell line,24 h
INIP,58493,,9 Gy,protons,breast adenocarcinoma cells,24 h
INIP,58493,,9 Gy,protons,TNBC cell line,24 h
PLEKHB1,58473,,9 Gy,protons,TNBC cell line,24 h
ANKRA2,57763,,9 Gy,protons,breast adenocarcinoma cells,24 h
HOMEZ,57594,,9 Gy,protons,TNBC cell line,24 h
SORCS2,57537,,9 Gy,protons,breast adenocarcinoma cells,24 h
NYNRIN,57523,,9 Gy,protons,breast adenocarcinoma cells,24 h
TRIM49,57093,,9 Gy,protons,breast adenocarcinoma cells,24 h
PRDM8,56978,,5 Gy,γ-rays,T-lymphoid cell line,12 h
PRDM8,56978,,5 Gy,γ-rays,T-lymphoid cell line,24 h
PRDM8,56978,,5 Gy,γ-rays,T-lymphoid cell line,3 h
PRDM8,56978,,5 Gy,γ-rays,T-lymphoid cell line,48 h
PRDM8,56978,,5 Gy,γ-rays,T-lymphoid cell line,6 h
OLFML3,56944,,9 Gy,protons,breast adenocarcinoma cells,24 h
GRIPAP1,56850,,5 Gy,γ-rays,T-lymphoid cell line,12 h
GRIPAP1,56850,,5 Gy,γ-rays,T-lymphoid cell line,24 h
GRIPAP1,56850,,5 Gy,γ-rays,T-lymphoid cell line,3 h
GRIPAP1,56850,,5 Gy,γ-rays,T-lymphoid cell line,48 h
GRIPAP1,56850,,5 Gy,γ-rays,T-lymphoid cell line,6 h
TCEAL7,56849,,9 Gy,protons,TNBC cell line,24 h
NRIP3,56675,,5 Gy,γ-rays,T-lymphoid cell line,12 h
NRIP3,56675,,5 Gy,γ-rays,T-lymphoid cell line,24 h
NRIP3,56675,,5 Gy,γ-rays,T-lymphoid cell line,3 h
NRIP3,56675,,5 Gy,γ-rays,T-lymphoid cell line,48 h
NRIP3,56675,,5 Gy,γ-rays,T-lymphoid cell line,6 h
TDRD1,56165,,5 Gy,γ-rays,T-lymphoid cell line,12 h
TDRD1,56165,,5 Gy,γ-rays,T-lymphoid cell line,24 h
TDRD1,56165,,5 Gy,γ-rays,T-lymphoid cell line,3 h
TDRD1,56165,,5 Gy,γ-rays,T-lymphoid cell line,48 h
TDRD1,56165,,5 Gy,γ-rays,T-lymphoid cell line,6 h
TEX14,56155,,8 Gy,X-rays,pancreatic cancer cell line,4 h
PCDHA11,56138,,5 Gy,γ-rays,T-lymphoid cell line,12 h
PCDHA11,56138,,5 Gy,γ-rays,T-lymphoid cell line,24 h
PCDHA11,56138,,5 Gy,γ-rays,T-lymphoid cell line,3 h
PCDHA11,56138,,5 Gy,γ-rays,T-lymphoid cell line,48 h
PCDHA11,56138,,5 Gy,γ-rays,T-lymphoid cell line,6 h
INKA2,55924,,5 Gy,γ-rays,T-lymphoid cell line,12 h
INKA2,55924,,5 Gy,γ-rays,T-lymphoid cell line,24 h
INKA2,55924,,5 Gy,γ-rays,T-lymphoid cell line,3 h
INKA2,55924,,5 Gy,γ-rays,T-lymphoid cell line,48 h
INKA2,55924,,5 Gy,γ-rays,T-lymphoid cell line,6 h
N4BP2,55728,,5 Gy,γ-rays,T-lymphoid cell line,12 h
N4BP2,55728,,5 Gy,γ-rays,T-lymphoid cell line,24 h
N4BP2,55728,,5 Gy,γ-rays,T-lymphoid cell line,48 h
CCDC88A,55704,,2 Gy,X-rays,prostate cancer cell line,8 h
RBM38,55544,,5 Gy,γ-rays,T-lymphoid cell line,12 h
RBM38,55544,,5 Gy,γ-rays,T-lymphoid cell line,12 h
RBM38,55544,,5 Gy,γ-rays,T-lymphoid cell line,24 h
RBM38,55544,,5 Gy,γ-rays,T-lymphoid cell line,24 h
RBM38,55544,,5 Gy,γ-rays,T-lymphoid cell line,3 h
RBM38,55544,,5 Gy,γ-rays,T-lymphoid cell line,3 h
RBM38,55544,,5 Gy,γ-rays,T-lymphoid cell line,48 h
RBM38,55544,,5 Gy,γ-rays,T-lymphoid cell line,48 h
RBM38,55544,,5 Gy,γ-rays,T-lymphoid cell line,6 h
RBM38,55544,,5 Gy,γ-rays,T-lymphoid cell line,6 h
DNAJA4,55466,,9 Gy,protons,TNBC cell line,24 h
DRAM1,55332,,5 Gy,γ-rays,T-lymphoid cell line,12 h
DRAM1,55332,,5 Gy,γ-rays,T-lymphoid cell line,24 h
DRAM1,55332,,5 Gy,γ-rays,T-lymphoid cell line,3 h
DRAM1,55332,,5 Gy,γ-rays,T-lymphoid cell line,48 h
DRAM1,55332,,5 Gy,γ-rays,T-lymphoid cell line,6 h
MNS1,55329,,5 Gy,γ-rays,T-lymphoid cell line,12 h
MNS1,55329,,5 Gy,γ-rays,T-lymphoid cell line,24 h
MNS1,55329,,5 Gy,γ-rays,T-lymphoid cell line,48 h
MNS1,55329,,5 Gy,γ-rays,T-lymphoid cell line,6 h
SLC47A1,55244,,9 Gy,protons,TNBC cell line,24 h
EBLN2,55096,,5 Gy,γ-rays,T-lymphoid cell line,12 h
EBLN2,55096,,5 Gy,γ-rays,T-lymphoid cell line,24 h
EBLN2,55096,,5 Gy,γ-rays,T-lymphoid cell line,3 h
EBLN2,55096,,5 Gy,γ-rays,T-lymphoid cell line,48 h
EBLN2,55096,,5 Gy,γ-rays,T-lymphoid cell line,6 h
LRRC37A4P,55073,,5 Gy,γ-rays,T-lymphoid cell line,12 h
LRRC37A4P,55073,,5 Gy,γ-rays,T-lymphoid cell line,24 h
LRRC37A4P,55073,,5 Gy,γ-rays,T-lymphoid cell line,3 h
LRRC37A4P,55073,,5 Gy,γ-rays,T-lymphoid cell line,48 h
LRRC37A4P,55073,,5 Gy,γ-rays,T-lymphoid cell line,6 h
SLC52A1,55065,,5 Gy,γ-rays,T-lymphoid cell line,12 h
SLC52A1,55065,,5 Gy,γ-rays,T-lymphoid cell line,24 h
SLC52A1,55065,,5 Gy,γ-rays,T-lymphoid cell line,48 h
C14orf119,55017,,9 Gy,protons,TNBC cell line,24 h
HERC6,55008,,9 Gy,protons,TNBC cell line,24 h
ELP6,54859,,9 Gy,protons,TNBC cell line,24 h
PGPEP1,54858,,9 Gy,protons,breast adenocarcinoma cells,24 h
MBTD1,54799,,5 Gy,γ-rays,T-lymphoid cell line,12 h
MBTD1,54799,,5 Gy,γ-rays,T-lymphoid cell line,24 h
MBTD1,54799,,5 Gy,γ-rays,T-lymphoid cell line,3 h
MBTD1,54799,,5 Gy,γ-rays,T-lymphoid cell line,48 h
MBTD1,54799,,5 Gy,γ-rays,T-lymphoid cell line,6 h
GRAMD1C,54762,,8 Gy,X-rays,pancreatic cancer cell line,4 h
PCDH18,54510,,9 Gy,protons,TNBC cell line,24 h
ERRFI1,54206,,9 Gy,protons,TNBC cell line,24 h
GPR87,53836,,9 Gy,protons,breast adenocarcinoma cells,24 h
ASB2,51676,,8 Gy,X-rays,pancreatic cancer cell line,4 h
TRIAP1,51499,,5 Gy,γ-rays,T-lymphoid cell line,12 h
TRIAP1,51499,,5 Gy,γ-rays,T-lymphoid cell line,24 h
TRIAP1,51499,,5 Gy,γ-rays,T-lymphoid cell line,3 h
TRIAP1,51499,,5 Gy,γ-rays,T-lymphoid cell line,48 h
TRIAP1,51499,,5 Gy,γ-rays,T-lymphoid cell line,6 h
ZNF589,51385,,5 Gy,γ-rays,T-lymphoid cell line,12 h
ZNF589,51385,,5 Gy,γ-rays,T-lymphoid cell line,24 h
