Pinyin_h,Chinese_h,English_h,Latin_h,CID
GUAN HUANG BO,关黄柏,Phellodendri amurensis cortex,,5280794
GUAN HUANG BO,关黄柏,Phellodendri amurensis cortex,,145706026
GUAN HUANG BO,关黄柏,Phellodendri amurensis cortex,,969488
GUAN HUANG BO,关黄柏,Phellodendri amurensis cortex,,3084288
GUAN HUANG BO,关黄柏,Phellodendri amurensis cortex,,44577222
GUAN HUANG BO,关黄柏,Phellodendri amurensis cortex,,62348
GUAN HUANG BO,关黄柏,Phellodendri amurensis cortex,,5281703
GUAN HUANG BO,关黄柏,Phellodendri amurensis cortex,,14262868
GUAN HUANG BO,关黄柏,Phellodendri amurensis cortex,,131751494
GUAN MU AO TUO SI TE CAO,灌木奥拓斯特草,Shrubby otostegia*,Otostegia fruticosa,101083715
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,12401
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,53399243
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,21599925
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,454
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,637282
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,445638
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,73797127
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,133454
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,73498
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,137705185
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,73797126
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,441597
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,14
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,442576
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,440832
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,22169126
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,441774
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,10338061
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,121719
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,5281553
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,252325
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,145706029
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,22392424
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,17
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,10
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,22
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,137795541
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,26
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,25
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,28
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,27
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,4978
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,1045
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,1060
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,5280343
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,5280459
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,13258914
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,131752965
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,439242
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,5320886
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,25310
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,443160
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,45266674
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,1102
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,1103
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,1110
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,132350840
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,5988
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,9986231
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,875
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,7390
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,25311
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,5282149
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,8
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,18
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,5319151
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,167945
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,93135
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,135191
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,53427616
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,6429301
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,12313020
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,521334
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,10821
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,22316
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,100067249
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,100002758
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,100073040
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,100636994
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,100637110
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,100643658
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,100003314
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,100073386
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,100073170
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,100014005
GUAN MU CHAI HU,,Shrub thoroughwax (shrubby hare’s-ear),Bupleurum fruticosum,100000307
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,21590530
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,10414856
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,10650360
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,5280489
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,255538
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,44427231
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,53394331
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,25202775
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,54758589
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,5318391
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,517202
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,5281751
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,46906036
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,49792009
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,10393794
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,53399169
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,101718008
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,46905123
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,7020
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,91455395
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,129316606
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,72276
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,73107525
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,441298
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,3663
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,90657624
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,4978
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,5280343
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,5280459
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,5280805
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,16133892
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,5281643
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,21603446
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,11800844
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,72277
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,250397
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,441300
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,5280344
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,5280460
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,5280816
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,5281052
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,5281645
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,5281752
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,5318393
GUAN YE LIAN QIAO,贯叶连翘,Common stjohn’swort,Hypericum perforatum,10414864
GUANG LIANG LUO FU MU,光亮萝芙木,Shining devilpepper*,Rauwolfia nitida,72338
GUANG LIANG LUO FU MU,光亮萝芙木,Shining devilpepper*,Rauwolfia nitida,5353923
GUANG LIANG LUO FU MU,光亮萝芙木,Shining devilpepper*,Rauwolfia nitida,11742418
GUANG LIANG LUO FU MU,光亮萝芙木,Shining devilpepper*,Rauwolfia nitida,24848119
GUANG LIANG LUO FU MU,光亮萝芙木,Shining devilpepper*,Rauwolfia nitida,12304060
GUANG LIANG LUO FU MU,光亮萝芙木,Shining devilpepper*,Rauwolfia nitida,5315406
GUANG LIANG LUO FU MU,光亮萝芙木,Shining devilpepper*,Rauwolfia nitida,5280954
GUANG LIANG LUO FU MU,光亮萝芙木,Shining devilpepper*,Rauwolfia nitida,67228
GUANG LIANG LUO FU MU,光亮萝芙木,Shining devilpepper*,Rauwolfia nitida,5770
GUANG LIANG LUO FU MU,光亮萝芙木,Shining devilpepper*,Rauwolfia nitida,8969
GUANG LIANG LUO FU MU,光亮萝芙木,Shining devilpepper*,Rauwolfia nitida,5771
GUANG LIANG LUO FU MU,光亮萝芙木,Shining devilpepper*,Rauwolfia nitida,6175
GUANG LIANG LUO FU MU,光亮萝芙木,Shining devilpepper*,Rauwolfia nitida,72340
GUANG LIANG LUO FU MU,光亮萝芙木,Shining devilpepper*,Rauwolfia nitida,168986
GUANG LIANG LUO FU MU,光亮萝芙木,Shining devilpepper*,Rauwolfia nitida,5280960
GUI PI,桂皮,Japanese cinmon,Cinmomum japonicum,14783
GUI PI,桂皮,Japanese cinmon,Cinmomum japonicum,29131
GUI PI,桂皮,Japanese cinmon,Cinmomum japonicum,637511
GUI PI,桂皮,Japanese cinmon,Cinmomum japonicum,444539
GUI PI,桂皮,Japanese cinmon,Cinmomum japonicum,5487843
GUI PI,桂皮,Japanese cinmon,Cinmomum japonicum,3314
GUI PI,桂皮,Japanese cinmon,Cinmomum japonicum,21972505
GUI PI,桂皮,Japanese cinmon,Cinmomum japonicum,5352425
GUI PI,桂皮,Japanese cinmon,Cinmomum japonicum,935
GUI PI,桂皮,Japanese cinmon,Cinmomum japonicum,5354495
GUI PI,桂皮,Japanese cinmon,Cinmomum japonicum,23973
GUI PI,桂皮,Japanese cinmon,Cinmomum japonicum,23976
GUI PI,桂皮,Japanese cinmon,Cinmomum japonicum,23978
GUI PI,桂皮,Japanese cinmon,Cinmomum japonicum,7127
GUI PI,桂皮,Japanese cinmon,Cinmomum japonicum,3318
GUI PI,桂皮,Japanese cinmon,Cinmomum japonicum,7132
GUI PI,桂皮,Japanese cinmon,Cinmomum japonicum,637516
GUI YA GOU TENG,,"Garabato,ungangi, cat’s claw",Uncaria guianensis,5318054
GUI YA GOU TENG,,"Garabato,ungangi, cat’s claw",Uncaria guianensis,3037884
GUI YA GOU TENG,,"Garabato,ungangi, cat’s claw",Uncaria guianensis,98363
GUI YA GOU TENG,,"Garabato,ungangi, cat’s claw",Uncaria guianensis,9885603
GUI YA GOU TENG,,"Garabato,ungangi, cat’s claw",Uncaria guianensis,3037048
GUI YA GOU TENG,,"Garabato,ungangi, cat’s claw",Uncaria guianensis,11943653
GUI YA GOU TENG,,"Garabato,ungangi, cat’s claw",Uncaria guianensis,44567012
GUI YA GOU TENG,,"Garabato,ungangi, cat’s claw",Uncaria guianensis,16203645
GUI YA GOU TENG,,"Garabato,ungangi, cat’s claw",Uncaria guianensis,5318653
GUI YA GOU TENG,,"Garabato,ungangi, cat’s claw",Uncaria guianensis,168985
GUI YA GOU TENG,,"Garabato,ungangi, cat’s claw",Uncaria guianensis,138108086
GUI YA GOU TENG,,"Garabato,ungangi, cat’s claw",Uncaria guianensis,11726520
GUI YA GOU TENG,,"Garabato,ungangi, cat’s claw",Uncaria guianensis,94160
GUI YA GOU TENG,,"Garabato,ungangi, cat’s claw",Uncaria guianensis,10429112
GUI YA GOU TENG,,"Garabato,ungangi, cat’s claw",Uncaria guianensis,137705801
GUI YA GOU TENG,,"Garabato,ungangi, cat’s claw",Uncaria guianensis,5281408
GUI YA GOU TENG,,"Garabato,ungangi, cat’s claw",Uncaria guianensis,3037101
GUI YA GOU TENG,,"Garabato,ungangi, cat’s claw",Uncaria guianensis,3037152
GUI YA GOU TENG,,"Garabato,ungangi, cat’s claw",Uncaria guianensis,3037886
GUI YA GOU TENG,,"Garabato,ungangi, cat’s claw",Uncaria guianensis,5281411
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],98373
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],25021887
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],72
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],5318320
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],5315893
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],29927927
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],1549040
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],11465803
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],20375919
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],23308299
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],637511
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],6428995
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],444539
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],5315892
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],323
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],54714352
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],5316728
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],42626572
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],636741
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],442792
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],11241545
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],122738
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],10263440
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],54675866
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],11972438
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],7501
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],31291
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],5957728
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],222284
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],136322
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],13966509
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],2758
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],3084311
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],88301
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],97032059
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],11062489
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],11770062
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],1201521
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],41209
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],637540
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],5280841
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],29420
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],641298
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],734154
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],78887
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],689222
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],557140
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],69667
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],86086004
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],12306048
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],138114296
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],519662
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],3083834
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],92042758
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],12306047
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],440968
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],7462
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],637563
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],131752069
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],73099741
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],31244
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],12613
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],11095734
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],240
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],31234
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],30890
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],6429302
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],5281758
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],10104370
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],93081
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],6918391
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],5368493
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],443161
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],10290825
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],519361
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],18597
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],6552009
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],6448
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],243
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],2345
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],10225
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],10657
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],12302243
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],159055
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],2537
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],30219
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],54740355
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],644019
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],107280
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],3081990
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],379
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],1742210
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],9064
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],65575
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],17739
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],68148
GUI ZHI,桂枝,Cassiabarktree twig,Cinmomum cassia  [syn.  cinmomum aromaticum ],443156
