gene,gene_ID,pathway,dose,type_of_radiation,tissue_cell_line,time_after_irradiation
CKS2,1164,,4.56 Gy,γ-rays,liver,2 days
CHRM1,1128,PI3K-Akt signaling pathway,5 Gy,X-rays,iPSC-derived cardiomyocytes,48 h
CHEK1,1111,p53 signaling pathway,10 Gy,γ-rays,brain,24h
CENPF,1063,,5 Gy,X-rays,iPSC-derived cardiomyocytes,48 h
CENPE,1062,,5 Gy,X-rays,iPSC-derived cardiomyocytes,48 h
CENPA,1058,,5 Gy,X-rays,iPSC-derived cardiomyocytes,48 h
CENPA,1058,,1.5 Gy,α-particles,keratinocytes,24 h
CLGN,1047,,10 Gy,γ-rays,brain,24h
CDKN3,1033,,5 Gy,X-rays,iPSC-derived cardiomyocytes,48 h
CDKN3,1033,,1.5 Gy,α-particles,keratinocytes,24 h
CDKN2C,1031,,5 Gy,X-rays,iPSC-derived cardiomyocytes,48 h
CDKN1A,1026,PI3K-Akt signaling pathway,5 Gy,X-rays,peripheral blood mononuclear cells,24 h
CDKN1A,1026,PI3K-Akt signaling pathway,1.5 Gy,α-particles,peripheral blood mononuclear cells,24 h
CDK6,1021,PI3K-Akt signaling pathway,10 Gy,γ-rays,kidney,24h
CDC25C,995,,5 Gy,X-rays,iPSC-derived cardiomyocytes,48 h
CDC20,991,,5 Gy,X-rays,iPSC-derived cardiomyocytes,48 h
CDC20,991,,1.5 Gy,α-particles,keratinocytes,24 h
CDC20,991,,1.5 Gy,α-particles,keratinocytes,24 h
CDC20,991,,1.5 Gy,α-particles,lung fibroblasts,24 h
CDC6,990,,5 Gy,X-rays,iPSC-derived cardiomyocytes,48 h
CDK1,983,p53 signaling pathway,5 Gy,X-rays,iPSC-derived cardiomyocytes,48 h
CD70,970,,5 Gy,X-rays,peripheral blood mononuclear cells,24 h
CD70,970,,5 Gy,X-rays,peripheral blood mononuclear cells,24 h
CD70,970,,1.5 Gy,α-particles,peripheral blood mononuclear cells,24 h
CD69,969,,1.5 Gy,α-particles,lung fibroblasts,24 h
TNFSF8,944,,5 Gy,X-rays,peripheral blood mononuclear cells,24 h
TNFSF8,944,,5 Gy,X-rays,peripheral blood mononuclear cells,24 h
TNFSF8,944,,1.5 Gy,α-particles,peripheral blood mononuclear cells,24 h
CCNG1,900,p53 signaling pathway,5 Gy,X-rays,peripheral blood mononuclear cells,24 h
CCNG1,900,p53 signaling pathway,1.5 Gy,α-particles,peripheral blood mononuclear cells,24 h
CCNG1,900,p53 signaling pathway,10 Gy,γ-rays,kidney,24h
CCNF,899,,1.5 Gy,α-particles,keratinocytes,24 h
CCNB1,891,p53 signaling pathway,1.5 Gy,α-particles,keratinocytes,24 h
CCNA2,890,AMPK signaling pathway,5 Gy,X-rays,iPSC-derived cardiomyocytes,48 h
CCNA2,890,AMPK signaling pathway,1.5 Gy,α-particles,keratinocytes,24 h
CCNA2,890,AMPK signaling pathway,10 Gy,γ-rays,kidney,24h
BUB1,699,,1.5 Gy,α-particles,keratinocytes,24 h
BUB1,699,,1.5 Gy,α-particles,keratinocytes,24 h
BRCA2,675,,5 Gy,X-rays,iPSC-derived cardiomyocytes,48 h
BMP6,654,TGF-beta signaling pathway,1.5 Gy,α-particles,keratinocytes,24 h
BMP2,650,TGF-beta signaling pathway,1.5 Gy,α-particles,lung fibroblasts,24 h
BAX,581,Sphingolipid signaling pathway,5 Gy,X-rays,peripheral blood mononuclear cells,24 h
BAX,581,Sphingolipid signaling pathway,5 Gy,X-rays,peripheral blood mononuclear cells,24 h
BAX,581,Sphingolipid signaling pathway,1.5 Gy,α-particles,peripheral blood mononuclear cells,24 h
ADGRB1,575,p53 signaling pathway,5 Gy,X-rays,iPSC-derived cardiomyocytes,48 h
AXL,558,,10 Gy,γ-rays,brain,24h
ALDH7A1,501,,10 Gy,γ-rays,brain,24h
ATP1B1,481,Thyroid hormone signaling pathway,10 Gy,γ-rays,brain,24h
RHOG,391,,10 Gy,γ-rays,brain,24h
RHOC,389,,4.56 Gy,γ-rays,liver,2 days
BIRC5,332,Hippo signaling pathway,5 Gy,X-rays,iPSC-derived cardiomyocytes,48 h
BIRC5,332,Hippo signaling pathway,1.5 Gy,α-particles,keratinocytes,24 h
ALAS2,212,,5 Gy,X-rays,iPSC-derived cardiomyocytes,48 h
JAG1,182,TNF signaling pathway,10 Gy,γ-rays,kidney,24h
PLIN2,123,PPAR signaling pathway,1.5 Gy,α-particles,lung fibroblasts,24 h
PLIN2,123,PPAR signaling pathway,1.5 Gy,α-particles,lung fibroblasts,24 h
ACTG2,72,,1.5 Gy,α-particles,lung fibroblasts,24 h
ACTB,60,Thyroid hormone signaling pathway,4.56 Gy,γ-rays,liver,2 days
ACTA2,59,Relaxin signaling pathway,5 Gy,X-rays,peripheral blood mononuclear cells,24 h
ACTA2,59,Relaxin signaling pathway,5 Gy,X-rays,peripheral blood mononuclear cells,24 h
ACTA2,59,Relaxin signaling pathway,1.5 Gy,α-particles,lung fibroblasts,24 h
ACTA2,59,Relaxin signaling pathway,1.5 Gy,α-particles,peripheral blood mononuclear cells,24 h
ACRV1,56,,5 Gy,X-rays,iPSC-derived cardiomyocytes,48 h
AP3M2,10947,,,Heavy metal,,
ASF1B,55723,,,Heavy metal,,
BPI,671,,,Heavy metal,,
C2orf50,130813,,,Heavy metal,,
CAMP,820,NOD-like receptor signaling pathway,,Heavy metal,,
CEACAM8,1088,,,Heavy metal,,
CHI3L1,1116,,,Heavy metal,,
CRYGS,1427,,,Heavy metal,,
CYP4F3,4051,,,Heavy metal,,
DEFA3,1668,NOD-like receptor signaling pathway,,Heavy metal,,
DEFA4,1669,NOD-like receptor signaling pathway,,Heavy metal,,
DOCK4,9732,Rap1 signaling pathway,,Heavy metal,,
DUSP11,8446,,,Heavy metal,,
FHL1,2273,JAK-STAT signaling pathway,,Heavy metal,,
G0S2,50486,,,Heavy metal,,
GAS6-AS1,650669,,,Heavy metal,,
HSPB9,94086,,,Heavy metal,,
IFI27,3429,,,Heavy metal,,
INHBB,3625,TGF-beta signaling pathway,,Heavy metal,,
ITLN1,55600,,,Heavy metal,,
KCNK7,10089,,,Heavy metal,,
KHDC1,80759,,,Heavy metal,,
KRT72,140807,,,Heavy metal,,
LCN2,3934,IL-17 signaling pathway,,Heavy metal,,
LINC00381,100874151,,,Heavy metal,,
LINC00632,286411,,,Heavy metal,,
LINC01563,101060544,,,Heavy metal,,
LINC01725,101927587,,,Heavy metal,,
lnc-EPHA6-1,,,,Heavy metal,,
lnc-EPHA6-1,,,,Heavy metal,,
lnc-MYC-2,,,,Heavy metal,,
lnc-TPTE-3,,,,Heavy metal,,
lnc-TRPM7-1,,,,Heavy metal,,
lnc-VWF-2,,,,Heavy metal,,
LTF,4057,,,Heavy metal,,
MRGPRG,386746,,,Heavy metal,,
MYBPH,4608,,,Heavy metal,,
N6AMT1,29104,,,Heavy metal,,
NCAPD3,23310,,,Heavy metal,,
NDUFAF4,29078,,,Heavy metal,,
NKX2-5,1482,,,Heavy metal,,
OLFM4,10562,,,Heavy metal,,
PHACTR2,9749,,,Heavy metal,,
PITHD1,57095,,,Heavy metal,,
RASD2,23551,,,Heavy metal,,
RNA18SN5,100008588,,,Heavy metal,,
RNA28SN1,106632264,,,Heavy metal,,
SALL3,27164,,,Heavy metal,,
SIAH1,6477,Wnt signaling pathway,,Heavy metal,,
SNAR-F,100126781,,,Heavy metal,,
SNAR-G2,100170228,,,Heavy metal,,
SNAR-H,100170221,,,Heavy metal,,
SNRPA1,6627,,,Heavy metal,,
SPATA2,9825,,,Heavy metal,,
TCERG1L-AS1,101927489,,,Heavy metal,,
TINAGL1,64129,,,Heavy metal,,
TMEM187,8269,,,Heavy metal,,
TMEM95,339168,,,Heavy metal,,
TMTC1,83857,,,Heavy metal,,
TNFRSF17,608,,,Heavy metal,,
TRABD2B,388630,,,Heavy metal,,
TTC16,158248,,,Heavy metal,,
UCP3,7352,,,Heavy metal,,
ZNF707,286075,,,Heavy metal,,
